Sig	Name
2649	rfa1
2170	pri1
2336	smal1
2180	rfa3
2334	pri2
2152	dpoa2
2211	rfa2
2066	rfwd3
1907	dpola
2100	mcm5
1970	mcm7
2166	mcm2
1872	wrn
1819	etaa1
1981	tim
1932	mcm6
1862	mcm3
1685	psf3
1718	wdhd1
1836	atrip
1890	dna2l
1844	fancd2
1843	mcm10
1695	fanci
1800	tonsl
1538	sld5
1652	clspn
1543	dpoe1
1621	atr
1483	fancj
1538	hus1
1503	psf1
1652	rtel1
1655	ctf18
1400	psf2
1273	rad17
1294	rad9a
1482	prkdc
1414	rs27a
1258	dpolz
1378	mms22
1447	dpod3
1338	cdc45
1458	mcm4
1482	smc1a
1304	xpf
1342	dcc1
1577	rfc3
1416	pcna
1277	tpr
1134	ragp1
1403	xrcc5
1310	brca2
1470	smc3
1335	dpoe2
1268	ctf8
1273	tob1a
1191	scai
1562	rfc2
1030	rev1
1478	xrcc6
1454	baz1b
1204	nup93
1212	ubp7
1319	bard1
1086	rad1
1204	dnli1
1312	dpod1
1502	rfc1
1106	palb2
1080	ct094
1203	dpod2
1294	traip
1210	slx4
1457	rfc5
1122	anr32
1397	com1
1307	dnmt1
1675	rif1
1219	dcr1a
1169	siva
1216	atm
1060	cul2
948	f178a
1593	xrcc1
1101	nup50
1209	brca1
880	fan1
1086	plk1
1084	psmd2
966	rbp2
1203	rfc4
853	dpoe4
1003	senp6
1188	h4
1107	prof1
1059	if23b
1194	stag1
1022	aldoa
962	wdr48
1374	dnli3
1243	nipbl
916	paf
1538	dpoe3
874	rad18
908	dpolq
1173	ddb1
1042	rad21
1282	brwd3
1105	fancc
1009	msh6
1402	pnkp
1259	nbn
1403	parp1
952	prs7
966	hibn
1130	fanca
883	ercc1
1677	mtbp
1015	esco2
905	ra51a
738	llr1
954	hndla
1176	dbf4b
864	nu214
1699	ticrr
1080	fancl
911	nu205
1039	scc4
911	rb11b
841	psmd11
830	rnh1
843	tipin
895	anxa7
951	itl1b
923	epa2a
1203	cdc7
942	xpo2
1064	rae1l
763	polk
898	cof1b
890	chk1
726	xrcc4
939	prs8
907	parn
925	psma5
851	prs4
847	sf3a3
984	mlh1
762	tp53b
939	vma5a
805	nu155
1154	nup98
860	X1433z
814	u2af1
1346	snd1
919	prs6b
898	roa1
879	sprtn
838	atd2b
1016	lab
712	polh
883	psmd1
705	ung
1144	smhd1
927	hpgds
901	u2af2
895	tcpg
889	uba1
857	prdx2
664	nup62
897	stm1a
717	l14aa
927	tcpa
892	fasc
1240	smc6
865	calm
1041	fancm
878	gels
947	actc
790	prs6a
1036	dyhc1
964	recq4
1081	fancb
878	flnb
675	pdia3
761	wrip1
988	msh2
966	fen1b
831	psma3
934	top3a
895	sorcn
1021	cul4b
