Sig	category	class	module	Name	uniprot
1119	MISC	MISC	MISC	abcf1	Q8NE71
961	MISC	MISC	MISC	acbp4	Q7Z6M1
963	MISC	MISC	MISC	acl6a	O96019
947	MISC	MISC	MISC	actc	P68032
1142	MISC	MISC	MISC	adnp	Q9H2P0
796	MISC	MISC	MISC	aimp1	Q12904-2
1022	MISC	MISC	MISC	aldoa	P04075
1122	COH	COH_56	SMC5/6	anr32	Q9BQI6
846	MISC	MISC	MISC	anxa5	P08758
895	MISC	MISC	MISC	anxa7	P20073
955	DDR	MISC	BER	apex1	P27695
897	DDR	MISC	BER	aptx	Q7Z2E3
864	MISC	MISC	MISC	arc1a	Q92747
1395	MISC	MISC	MISC	ari1a	O14497
1197	MISC	MISC	MISC	arid2	Q68CP9
864	MISC	MISC	MISC	arp3	P61158
1492	MISC	MISC	MISC	as1ab	Q9Y294
889	DDR	DRC	DRC	atad5	Q96QE3
838	MISC	MISC	MISC	atd2b	Q9ULI0
1216	DDR	DSB	DSB	atm	Q13315
1621	DDR	DRC	DRC	atr	Q13535
1836	DDR	DRC	DRC	atrip	Q8WXE1
1111	MISC	MISC	MISC	atrx	P46100
924	MISC	MISC	MISC	aukbb	Q96GD4
945	MISC	MISC	MISC	b4	Q5SSJ5
1319	DDR	HR	HR	bard1	Q99728
1232	MISC	MISC	MISC	baz1a	Q9NRL2
1454	DDR	DSB	DSB	baz1b	Q9UIG0
904	MISC	MISC	MISC	bi51b	O15392-2
1083	DDR	HR	HR	blm	P54132
902	MISC	MISC	MISC	bore2	Q53HL2
1209	DDR	HR	HR	brca1	P38398-4
1310	DDR	HR	HR	brca2	P51587
830	MISC	MISC	MISC	brd2	O60885
831	MISC	MISC	MISC	brd7	Q9NPI1-2
1282	MISC	MISC	MISC	brwd3	Q6RI45
961	MISC	MISC	MISC	c8ap2	Q9UKL3
956	MISC	MISC	MISC	cabin	Q9Y6J0
865	MISC	MISC	MISC	calm	P62158
821	MISC	MISC	MISC	cand1	Q86VP6
919	MISC	MISC	MISC	caza1	P52907
839	MISC	MISC	MISC	cbx3	Q13185
1045	MISC	MISC	MISC	ccnc	P24863
982	MISC	MISC	MISC	cd027	Q9NWY4
1338	REP	REP_INI	REP_INI	cdc45	O75419
1241	REP	REP_INI	REP_INI	cdc6	Q13415
1203	COH	COH_REG	COH_REG	cdc7	O00311
1210	MISC	MISC	MISC	cdk8	P49336
969	MISC	MISC	MISC	cdka1	O14519
1274	MISC	MISC	MISC	chd4	Q14839-2
1162	MISC	MISC	MISC	chd7	Q9P2D1
1166	MISC	MISC	MISC	chd8	Q9HCK8
890	DDR	DRC	DRC	chk1	O14757
901	MISC	MISC	MISC	ckap5	Q14008-3
1652	DDR	DRC	DRC	clspn	Q9HAW4
1082	MISC	MISC	MISC	co044	Q96SY0
898	MISC	MISC	MISC	cof1b	P23528
879	MISC	MISC	MISC	coil	P38432
1397	DDR	HR	RES	com1	Q99708-2
858	MISC	MISC	MISC	cstf2	P33240
1080	DDR	INC	INC	ct094	Q70CQ3
984	MISC	MISC	MISC	ctbp2	P56545
1655	COH	COH_REG	COH_REG	ctf18	Q8WVB6
1268	COH	COH_REG	COH_REG	ctf8	P0CG13
1060	MISC	MISC	MISC	cul2	Q13617
913	MISC	MISC	MISC	cul4a	Q13619
1021	DDR	MISC	NER	cul4b	Q13620-1
1277	MISC	MISC	MISC	daxx	Q9UER7
1176	COH	COH_REG	COH_REG	dbf4b	Q8NFT6-3
1342	COH	COH_REG	COH_REG	dcc1	Q9BVC3
1219	DDR	INC	INC	dcr1a	Q6PJP8
1173	DDR	MISC	NER	ddb1	Q16531
828	MISC	MISC	MISC	ddx1	Q92499
870	MISC	MISC	MISC	ddx21	Q9NR30
901	MISC	MISC	MISC	ddx6	P26196
1084	MISC	MISC	MISC	dek	P35659
800	MISC	MISC	MISC	dkc1	O60832
1172	MISC	MISC	MISC	dmap1	Q9NPF5
1890	REP	REP_EL	REP_EL	dna2l	P51530
803	MISC	MISC	MISC	dnjb1	P25685
